date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls,paid_rate,cpa_contract,roas_contract,deals_ma7,paid_deals_ma7,spend_ma7
2023-07-26,26.0,1.0,0.0,0.0,160.63,52.0,0.038461538461538464,160.63,0.0,25.0,0.14285714285714285,242.55571428571426
2023-07-27,48.0,0.0,0.0,0.0,643.88,132.0,0.0,,0.0,28.285714285714285,0.14285714285714285,293.51000000000005
2023-07-28,30.0,1.0,1000.0,4000.0,385.56,112.0,0.03333333333333333,385.56,10.374520178441747,28.142857142857142,0.2857142857142857,293.3971428571428
2023-07-29,27.0,0.0,0.0,0.0,298.79,116.0,0.0,,0.0,29.0,0.2857142857142857,304.5914285714286
2023-07-30,24.0,1.0,350.0,3500.0,249.66,80.0,0.041666666666666664,249.66,14.019065929664343,29.142857142857142,0.42857142857142855,307.5585714285714
2023-07-31,37.0,1.0,1000.0,11500.0,290.5,81.0,0.02702702702702703,290.5,39.586919104991395,29.857142857142858,0.5714285714285714,311.88571428571424
2023-08-01,29.0,1.0,350.0,3500.0,237.37,85.0,0.034482758620689655,237.37,14.74491300501327,31.571428571428573,0.7142857142857143,323.77000000000004
2023-08-02,36.0,1.0,350.0,3500.0,395.87,87.0,0.027777777777777776,395.87,8.841286280849774,33.0,0.7142857142857143,357.3757142857143
2023-08-03,21.0,4.0,3350.0,37500.0,273.51,137.0,0.19047619047619047,68.3775,137.10650433256555,29.142857142857142,1.2857142857142858,304.4657142857142
2023-08-04,27.0,2.0,700.0,7000.0,341.57,119.0,0.07407407407407407,170.785,20.493603068185145,28.714285714285715,1.4285714285714286,298.18142857142857
2023-08-05,25.0,0.0,0.0,0.0,261.49,123.0,0.0,,0.0,28.428571428571427,1.4285714285714286,292.8528571428571
2023-08-06,41.0,1.0,350.0,3500.0,376.83,102.0,0.024390243902439025,376.83,9.288007855000929,30.857142857142858,1.4285714285714286,311.02
2023-08-07,25.0,0.0,0.0,0.0,402.36,81.0,0.0,,0.0,29.142857142857142,1.2857142857142858,327.0
2023-08-08,47.0,1.0,1000.0,11000.0,386.17,120.0,0.02127659574468085,386.17,28.484864178988527,31.714285714285715,1.2857142857142858,348.25714285714287
2023-08-09,44.0,2.0,2350.0,7000.0,405.56,182.0,0.045454545454545456,202.78,17.26008482098826,32.857142857142854,1.4285714285714286,349.6414285714286
2023-08-10,42.0,2.0,1350.0,14500.0,250.76,109.0,0.047619047619047616,125.38,57.82421438825969,35.857142857142854,1.1428571428571428,346.39142857142855
2023-08-11,22.0,0.0,0.0,0.0,201.07,160.0,0.0,,0.0,35.142857142857146,0.8571428571428571,326.32000000000005
2023-08-12,27.0,1.0,350.0,4000.0,280.03,147.0,0.037037037037037035,280.03,14.284183837445989,35.42857142857143,1.0,328.9685714285714
2023-08-13,26.0,0.0,0.0,0.0,237.5,73.0,0.0,,0.0,33.285714285714285,0.8571428571428571,309.0642857142857
2023-08-14,27.0,2.0,1450.0,15500.0,247.86,66.0,0.07407407407407407,123.93,62.535302186718305,33.57142857142857,1.1428571428571428,286.99285714285713
2023-08-15,36.0,3.0,1050.0,10500.0,261.07,197.0,0.08333333333333333,87.02333333333333,40.219098326119436,32.0,1.4285714285714286,269.12142857142857
2023-08-16,34.0,3.0,2350.0,26500.0,298.4,130.0,0.08823529411764706,99.46666666666665,88.80697050938339,30.571428571428573,1.5714285714285714,253.81285714285715
2023-08-17,29.0,3.0,1700.0,18500.0,267.67,150.0,0.10344827586206896,89.22333333333334,69.11495498188067,28.714285714285715,1.7142857142857142,256.2285714285714
2023-08-18,35.0,1.0,350.0,3500.0,269.19,153.0,0.02857142857142857,269.19,13.001968869571678,30.571428571428573,1.8571428571428572,265.96
2023-08-19,28.0,1.0,350.0,3500.0,274.59,167.0,0.03571428571428571,274.59,12.746276266433593,30.714285714285715,1.8571428571428572,265.18285714285713
2023-08-20,78.0,3.0,650.0,7500.0,243.28,245.0,0.038461538461538464,81.09333333333333,30.82867477803354,38.142857142857146,2.2857142857142856,266.00857142857143
2023-08-21,94.0,1.0,1000.0,11000.0,363.71,244.0,0.010638297872340425,363.71,30.243875615187925,47.714285714285715,2.142857142857143,282.5585714285714
2023-08-22,47.0,3.0,1050.0,10500.0,285.96000000000004,120.0,0.06382978723404255,95.32000000000001,36.718422156945024,49.285714285714285,2.142857142857143,286.1142857142857
2023-08-23,39.0,2.0,2350.0,7500.0,280.96999999999997,146.0,0.05128205128205128,140.48499999999999,26.693241271310107,50.0,2.0,283.6242857142857
2023-08-24,61.0,5.0,4700.0,33000.0,445.05,191.0,0.08196721311475409,89.01,74.1489720256151,54.57142857142857,2.2857142857142856,308.9642857142857
2023-08-25,33.0,0.0,0.0,0.0,281.23,156.0,0.0,,0.0,54.285714285714285,2.142857142857143,310.6842857142857
2023-08-26,31.0,0.0,0.0,0.0,234.52,87.0,0.0,,0.0,54.714285714285715,2.0,304.96
2023-08-27,15.0,0.0,0.0,0.0,232.51,118.0,0.0,,0.0,45.714285714285715,1.5714285714285714,303.4214285714285
2023-08-28,26.0,1.0,350.0,3500.0,263.77000000000004,132.0,0.038461538461538464,263.77000000000004,13.269135989687983,36.0,1.5714285714285714,289.14428571428573
2023-08-29,27.0,3.0,3000.0,34000.0,255.87,122.0,0.1111111111111111,85.29,132.87997811388595,33.142857142857146,1.5714285714285714,284.8457142857143
2023-08-30,26.0,3.0,1700.0,18000.0,241.08,127.0,0.11538461538461539,80.36,74.66401194624191,31.285714285714285,1.7142857142857142,279.1471428571429
2023-08-31,7.0,0.0,0.0,0.0,236.91,175.0,0.0,,0.0,23.571428571428573,1.0,249.41285714285712
2023-09-01,20.0,0.0,0.0,0.0,181.65,86.0,0.0,,0.0,21.714285714285715,1.0,235.18714285714285
2023-09-02,13.0,0.0,0.0,0.0,223.92,84.0,0.0,,0.0,19.142857142857142,1.0,233.67285714285714
2023-09-03,14.0,0.0,0.0,0.0,356.53999999999996,51.0,0.0,,0.0,19.0,1.0,251.39142857142858
2023-09-04,42.0,2.0,1500.0,15000.0,355.76,105.0,0.047619047619047616,177.88,42.163256127726555,21.285714285714285,1.1428571428571428,264.53285714285715
2023-09-05,20.0,0.0,0.0,0.0,182.33,124.0,0.0,,0.0,20.285714285714285,0.7142857142857143,254.02714285714288
2023-09-06,34.0,1.0,1000.0,11000.0,241.31,83.0,0.029411764705882353,241.31,45.584517840122665,21.428571428571427,0.42857142857142855,254.05999999999997
2023-09-07,27.0,0.0,0.0,0.0,190.7,156.0,0.0,,0.0,24.285714285714285,0.42857142857142855,247.4585714285714
2023-09-08,19.0,1.0,350.0,3500.0,176.51,156.0,0.05263157894736842,176.51,19.828904877910603,24.142857142857142,0.5714285714285714,246.7242857142857
2023-09-09,16.0,1.0,450.0,4500.0,204.4,91.0,0.0625,204.4,22.015655577299412,24.571428571428573,0.7142857142857143,243.93571428571428
2023-09-10,28.0,0.0,0.0,0.0,217.05,57.0,0.0,,0.0,26.571428571428573,0.7142857142857143,224.00857142857143
2023-09-11,22.0,2.0,1500.0,15500.0,214.18,162.0,0.09090909090909091,107.09,72.36903539079279,23.714285714285715,0.7142857142857143,203.78285714285715
2023-09-12,28.0,2.0,1450.0,16000.0,240.87,165.0,0.07142857142857142,120.435,66.42587287748577,24.857142857142858,1.0,212.1457142857143
2023-09-13,56.0,0.0,0.0,0.0,301.21999999999997,314.0,0.0,,0.0,28.0,0.8571428571428571,220.70428571428573
2023-09-14,31.0,0.0,0.0,0.0,222.37,268.0,0.0,,0.0,28.571428571428573,0.8571428571428571,225.22857142857143
2023-09-15,34.0,1.0,1000.0,11000.0,338.42,221.0,0.029411764705882353,338.42,32.50398912593818,30.714285714285715,0.8571428571428571,248.35857142857142
2023-09-16,30.0,2.0,2000.0,22000.0,226.62,121.0,0.06666666666666667,113.31,97.07881034330597,32.714285714285715,1.0,251.53285714285715
2023-09-17,31.0,1.0,450.0,4500.0,266.5,87.0,0.03225806451612903,266.5,16.885553470919323,33.142857142857146,1.1428571428571428,258.59714285714284
2023-09-18,40.0,4.0,5000.0,38000.0,280.03,243.0,0.1,70.0075,135.69974645573689,35.714285714285715,1.4285714285714286,268.0042857142857
2023-09-19,24.0,0.0,0.0,0.0,269.98,243.0,0.0,,0.0,35.142857142857146,1.1428571428571428,272.16285714285715
2023-09-20,58.0,3.0,4000.0,26000.0,532.0699999999999,198.0,0.05172413793103448,177.35666666666665,48.86575074708216,35.42857142857143,1.5714285714285714,305.14142857142855
2023-09-21,55.0,2.0,2000.0,22000.0,284.02,157.0,0.03636363636363636,142.01,77.45933384972889,38.857142857142854,1.8571428571428572,313.9485714285715
2023-09-22,43.0,2.0,1350.0,15000.0,380.54,242.0,0.046511627906976744,190.27,39.41766962737163,40.142857142857146,2.0,319.96571428571434
2023-09-23,47.0,4.0,2500.0,26500.0,594.5,87.0,0.0851063829787234,148.625,44.575273338940285,42.57142857142857,2.2857142857142856,372.52
2023-09-24,47.0,2.0,2000.0,22500.0,350.17,118.0,0.0425531914893617,175.085,64.25450495473626,44.857142857142854,2.4285714285714284,384.47285714285715
2023-09-25,39.0,3.0,2450.0,27500.0,320.62,217.0,0.07692307692307693,106.87333333333333,85.77131807123698,44.714285714285715,2.2857142857142856,390.2714285714286
2023-09-26,55.0,8.0,6400.0,58500.0,328.39,256.0,0.14545454545454545,41.04875,178.14184353969367,49.142857142857146,3.4285714285714284,398.61571428571426
2023-09-27,56.0,1.0,1000.0,11000.0,293.9,379.0,0.017857142857142856,293.9,37.4276964954066,48.857142857142854,3.142857142857143,364.59142857142854
2023-09-28,45.0,1.0,300.0,4000.0,347.33,310.0,0.022222222222222223,347.33,11.516425301586388,47.42857142857143,3.0,373.63571428571424
2023-09-29,61.0,9.0,4300.0,45000.0,318.19,220.0,0.14754098360655737,35.35444444444445,141.42493478739118,50.0,4.0,364.7285714285714
2023-09-30,44.0,1.0,350.0,3500.0,271.07,155.0,0.022727272727272728,271.07,12.911794001549415,49.57142857142857,3.5714285714285716,318.5242857142857
2023-10-01,10.0,0.0,0.0,0.0,330.84,92.0,0.0,,0.0,44.285714285714285,3.2857142857142856,315.7628571428571
2023-10-02,95.0,4.0,2350.0,25500.0,259.23,332.0,0.042105263157894736,64.8075,98.36824441615553,52.285714285714285,3.4285714285714284,306.99285714285713
2023-10-03,42.0,2.0,2300.0,3500.0,300.35,186.0,0.047619047619047616,150.175,11.653071416680538,50.42857142857143,2.5714285714285716,302.9871428571428
2023-10-04,53.0,2.0,2000.0,3000.0,337.86,281.0,0.03773584905660377,168.93,8.87941751021133,50.0,2.7142857142857144,309.26714285714286
2023-10-05,78.0,5.0,3700.0,40000.0,623.51,309.0,0.0641025641025641,124.702,64.15294061041523,54.714285714285715,3.2857142857142856,348.7214285714286
2023-10-06,54.0,2.0,2000.0,22500.0,397.66,208.0,0.037037037037037035,198.83,56.58099884323291,53.714285714285715,2.2857142857142856,360.07428571428574
2023-10-07,42.0,0.0,0.0,0.0,409.06,101.0,0.0,,0.0,53.42857142857143,2.142857142857143,379.7871428571429
2023-10-08,42.0,3.0,2450.0,4500.0,295.87,73.0,0.07142857142857142,98.62333333333333,15.209382499070538,58.0,2.5714285714285716,374.79142857142864
2023-10-09,52.0,5.0,6850.0,40000.0,639.74,202.0,0.09615384615384616,127.94800000000001,62.52540094413355,51.857142857142854,2.7142857142857144,429.15000000000003
2023-10-10,48.0,5.0,4500.0,48500.0,1049.79,203.0,0.10416666666666667,209.958,46.199716133702935,52.714285714285715,3.142857142857143,536.2128571428572
2023-10-11,54.0,3.0,3000.0,33000.0,306.37,334.0,0.05555555555555555,102.12333333333333,107.71289617129614,52.857142857142854,3.2857142857142856,531.7142857142857
